Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Dwight McNeil,eng ENG,"MF,FW",23,35,33,2892,3,6,0,2,0,3,3,Everton-
Abdoulaye Doucouré,ml MLI,"FW,MF",30,32,32,2629,7,1,0,7,0,8,8,Everton-
Vitaliy Mykolenko,ua UKR,DF,24,28,28,2469,2,0,0,1,0,1,1,Everton-
Ashley Young,eng ENG,"DF,MF",38,31,27,2280,0,0,0,7,1,0,0,Everton-
Dominic Calvert-Lewin,eng ENG,FW,26,32,26,2171,7,2,2,2,0,12,11,Everton-
Jack Harrison,eng ENG,"MF,FW",26,29,25,2214,3,3,0,1,0,3,3,Everton-
Idrissa Gana Gueye,sn SEN,MF,33,25,24,1884,4,0,0,8,0,1,1,Everton-
Amadou Onana,be BEL,MF,21,30,23,2091,2,0,0,5,0,2,2,Everton-
Ben Godfrey,eng ENG,DF,25,15,13,1120,0,0,0,2,0,1,1,Everton-
Nathan Patterson,sct SCO,DF,21,20,9,1005,0,2,0,4,0,0,0,Everton-
Beto,gw GNB,FW,25,30,9,951,3,0,0,2,0,6,6,Everton-
Séamus Coleman,ie IRL,DF,34,12,7,665,0,0,0,0,0,0,0,Everton-
Arnaut Danjuma,nl NED,"MF,FW",26,14,5,595,1,0,0,0,0,2,2,Everton-
Michael Keane,eng ENG,DF,30,9,4,439,1,0,0,2,0,0,0,Everton-
André Gomes,pt POR,"MF,FW",30,12,3,508,1,0,0,4,0,0,0,Everton-
Alex Iwobi,ng NGA,MF,27,2,2,140,0,0,0,0,0,0,0,Everton-
Lewis Dobbin,eng ENG,MF,20,12,1,232,1,0,0,1,0,0,0,Everton-
Youssef Chermiti,pt POR,FW,19,18,1,208,0,0,0,3,0,0,0,Everton-
Neal Maupay,fr FRA,FW,26,2,1,111,0,0,0,0,0,1,1,Everton-
Thomas Cannon,ie IRL,FW,20,1,0,1,0,0,0,0,0,0,0,Everton-
Tyler Onyango,eng ENG,MF,20,1,0,1,0,0,0,0,0,0,0,Everton-
Lewis Warrington,eng ENG,FW,20,1,0,1,0,0,0,0,0,0,0,Everton-
Elijah Campbell,eng ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Everton-
William Crellin,eng ENG,GK,23,0,0,0,0,0,0,0,0,0,0,Everton-
Mackenzie Hunt,eng ENG,DF,21,0,0,0,0,0,0,0,0,0,0,Everton-
Andy Lonergan,ie IRL,GK,39,0,0,0,0,0,0,0,0,0,0,Everton-
Jenson Metcalfe,eng ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Everton-
João Virgínia,pt POR,GK,23,0,0,0,0,0,0,0,0,0,0,Everton-
Squad Total,NULL,NULL,27,38,418,3420,40,17,2,82,1,54,51,Everton-
Opponent Total,NULL,NULL,26,38,418,3420,48,30,8,61,2,55,49,Everton-
Mark Flekken,nl NED,GK,30,0,37,3285,0,1,0,3,0,0,0,Brentford-
Vitaly Janelt,de GER,"MF,DF",25,0,37,3054,1,3,0,8,0,1,1,Brentford-
Christian Nørgaard,dk DEN,MF,29,0,30,2505,2,1,0,8,0,3,3,Brentford-
Nathan Collins,ie IRL,DF,22,0,29,2652,1,1,0,3,0,1,1,Brentford-
Yoane Wissa,cd COD,FW,26,0,29,2493,12,3,0,7,0,10,10,Brentford-
Ethan Pinnock,jm JAM,DF,30,0,28,2521,2,0,0,1,0,2,2,Brentford-
Mathias Jensen,dk DEN,MF,27,0,27,2204,3,3,0,5,0,0,0,Brentford-
Mads Roerslev,dk DEN,DF,24,0,22,1985,1,2,0,1,0,0,0,Brentford-
Bryan Mbeumo,cm CMR,FW,23,0,22,1960,9,6,3,2,0,9,7,Brentford-
Kristoffer Ajer,no NOR,DF,25,0,21,1832,2,1,0,5,0,1,1,Brentford-
Ivan Toney,eng ENG,FW,27,0,16,1450,4,2,0,5,0,6,6,Brentford-
Keane Lewis-Potter,eng ENG,"FW,DF",22,0,15,1441,3,1,0,0,0,6,6,Brentford-
Ben Mee,eng ENG,DF,33,0,15,1272,2,0,0,1,1,1,1,Brentford-
Sergio Reguilón,es ESP,DF,26,0,14,1118,0,4,0,4,1,0,0,Brentford-
Neal Maupay,fr FRA,FW,26,0,13,1321,6,3,0,8,0,5,5,Brentford-
Mathias Jørgensen,dk DEN,DF,33,0,12,1087,1,0,0,4,0,0,0,Brentford-
Frank Onyeka,ng NGA,MF,25,0,11,1161,1,2,0,8,0,2,2,Brentford-
Aaron Hickey,sct SCO,DF,21,0,9,713,0,0,0,5,0,0,0,Brentford-
Mikkel Damsgaard,dk DEN,MF,23,0,7,842,0,2,0,2,0,0,0,Brentford-
Saman Ghoddos,ir IRN,DF,29,0,7,739,1,0,0,5,0,0,0,Brentford-
Yehor Yarmoliuk,ua UKR,MF,19,0,6,688,0,0,0,2,0,1,1,Brentford-
Rico Henry,eng ENG,DF,26,0,5,401,0,1,0,1,0,0,0,Brentford-
Kevin Schade,de GER,"FW,MF",21,0,3,333,2,1,0,0,0,1,1,Brentford-
Shandon Baptiste,gd GRN,MF,25,0,2,229,1,1,0,1,0,0,0,Brentford-
Thomas Strakosha,al ALB,GK,28,0,1,135,0,0,0,0,0,0,0,Brentford-
Michael Olakigbe,eng ENG,"DF,FW",19,0,0,59,0,0,0,0,0,0,0,Brentford-
Josh Dasilva,eng ENG,"DF,FW",24,0,0,24,0,0,0,0,0,0,0,Brentford-
Myles Peart-Harris,eng ENG,"DF,MF",20,0,0,13,0,0,0,0,0,0,0,Brentford-
Val Adedokun,ie IRL,FW,20,0,0,13,0,0,0,0,0,0,0,Brentford-
Vincent Angelini,sct SCO,GK,19,0,0,13,0,0,0,0,0,0,0,Brentford-
Benjamin Arthur,eng ENG,DF,17,0,0,13,0,0,0,0,0,0,0,Brentford-
Ellery Balcombe,eng ENG,GK,23,0,0,13,0,0,0,0,0,0,0,Brentford-
Ethan Brierley,eng ENG,MF,19,0,0,13,0,0,0,0,0,0,0,Brentford-
Yunus Emre Konak,tr TUR,MF,17,0,0,13,0,0,0,0,0,0,0,Brentford-
Benjamin Fredrick,ng NGA,DF,18,0,0,13,0,0,0,0,0,0,0,Brentford-
Charlie Goode,eng ENG,DF,27,0,0,13,0,0,0,0,0,0,0,Brentford-
Kim Jisoo,kr KOR,DF,18,0,0,13,0,0,0,0,0,0,0,Brentford-
Hákon Rafn Valdimarsson,is ISL,GK,21,0,0,13,0,0,0,0,0,0,0,Brentford-
Ryan Trevitt,eng ENG,MF,20,0,0,13,0,0,0,0,0,0,0,Brentford-
Squad Total,NULL,NULL,26,0,418,3420,54,38,3,89,2,58,56,Brentford-
Opponent Total,NULL,NULL,26,0,418,3420,65,50,2,75,4,56,54,Brentford-
Morgan Gibbs-White,eng ENG,"MF,FW",23,0,35,3156,5,10,1,9,0,6,6,Nottingham-Forest-
Murillo,br BRA,DF,21,0,32,2789,0,2,0,5,0,1,1,Nottingham-Forest-
Anthony Elanga,se SWE,"FW,MF",21,0,25,2433,5,9,0,1,0,6,6,Nottingham-Forest-
Ryan Yates,eng ENG,MF,25,0,21,1992,1,1,0,6,0,2,2,Nottingham-Forest-
Callum Hudson-Odoi,eng ENG,"FW,MF",22,0,20,1854,8,1,0,0,0,2,2,Nottingham-Forest-
Chris Wood,nz NZL,FW,31,0,20,1812,14,1,0,0,0,11,11,Nottingham-Forest-
Danilo,br BRA,MF,22,0,20,1792,2,2,0,4,0,1,1,Nottingham-Forest-
Ola Aina,ng NGA,DF,26,0,20,1692,1,1,0,3,0,0,0,Nottingham-Forest-
Orel Mangala,be BEL,MF,25,0,19,1563,1,0,0,6,0,0,0,Nottingham-Forest-
Nicolás Domínguez,ar ARG,"MF,FW",25,0,19,1495,2,2,0,4,0,1,1,Nottingham-Forest-
Neco Williams,wls WAL,DF,22,0,18,1637,0,1,0,4,0,0,0,Nottingham-Forest-
Willy Boly,ci CIV,DF,32,0,18,1438,2,1,0,3,1,1,1,Nottingham-Forest-
Matt Turner,us USA,GK,29,0,17,1530,0,0,0,2,0,0,0,Nottingham-Forest-
Matz Sels,be BEL,GK,31,0,16,1440,0,0,0,1,0,0,0,Nottingham-Forest-
Moussa Niakhate,sn SEN,DF,27,0,15,1460,1,0,0,5,1,1,1,Nottingham-Forest-
Harry Toffolo,eng ENG,DF,27,0,15,1459,1,3,0,3,0,1,1,Nottingham-Forest-
Ibrahim Sangaré,ci CIV,MF,25,0,13,1035,0,0,0,6,0,0,0,Nottingham-Forest-
Taiwo Awoniyi,ng NGA,FW,25,0,12,1042,6,3,0,2,0,4,4,Nottingham-Forest-
Serge Aurier,ci CIV,"DF,MF",30,0,10,833,0,2,0,2,0,0,0,Nottingham-Forest-
Gonzalo Montiel,ar ARG,DF,26,0,8,801,0,2,0,5,0,0,0,Nottingham-Forest-
Andrew Omobamidele,ie IRL,DF,21,0,8,783,0,0,0,2,0,0,0,Nottingham-Forest-
Divock Origi,be BEL,FW,28,0,6,606,0,1,0,1,0,1,1,Nottingham-Forest-
Nuno Tavares,pt POR,DF,23,0,5,457,0,0,0,2,0,0,0,Nottingham-Forest-
Odisseas Vlachodimos,gr GRE,GK,29,0,5,450,0,0,0,0,0,0,0,Nottingham-Forest-
Joe Worrall,eng ENG,DF,26,0,5,439,0,0,0,0,1,0,0,Nottingham-Forest-
Scott McKenna,sct SCO,DF,26,0,5,416,0,0,0,0,0,0,0,Nottingham-Forest-
Felipe,br BRA,DF,34,0,4,375,0,0,0,4,0,0,0,Nottingham-Forest-
Brennan Johnson,wls WAL,"FW,MF",22,0,3,237,0,0,0,0,0,0,0,Nottingham-Forest-
Gio Reyna,us USA,"FW,MF",20,0,2,235,0,1,0,0,0,0,0,Nottingham-Forest-
Cheikhou Kouyaté,sn SEN,MF,33,0,2,212,0,0,0,2,0,0,0,Nottingham-Forest-
Rodrigo Ribeiro,pt POR,"MF,FW",18,0,0,17,0,0,0,0,0,0,0,Nottingham-Forest-
Andrey Santos,br BRA,MF,19,0,0,8,0,0,0,0,0,0,0,Nottingham-Forest-
Brandon Aguilera,cr CRC,FW,20,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Remo Freuler,ch SUI,MF,31,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Joe Gardner,eng ENG,DF,18,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Wayne Hennessey,wls WAL,GK,36,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Ethan Horvath,us USA,GK,28,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Jamie McDonnell,nir NIR,MF,19,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Lewis O'Brien,eng ENG,MF,24,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Detlef Osong,eng ENG,FW,18,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Hwang Ui-jo,kr KOR,"FW,MF",30,0,0,5,0,0,0,0,0,0,0,Nottingham-Forest-
Squad Total,NULL,NULL,25,0,418,3420,49,43,1,82,3,49,49,Nottingham-Forest-
Opponent Total,NULL,NULL,26,0,418,3420,65,48,4,81,7,53,50,Nottingham-Forest-
Thomas Kaminski,be BEL,GK,30,38,38,3405,0,0,0,3,0,0,0,Luton-Town-
Alfie Doughty,eng ENG,DF,23,37,34,2925,2,8,0,5,0,1,1,Luton-Town-
Carlton Morris,eng ENG,"FW,MF",27,38,32,2862,11,4,5,4,0,11,7,Luton-Town-
Ross Barkley,eng ENG,MF,29,32,30,2618,5,4,0,6,0,4,4,Luton-Town-
Teden Mengi,eng ENG,DF,21,30,28,2469,1,0,0,3,0,0,0,Luton-Town-
Gabriel Osho,ng NGA,DF,24,21,21,1846,2,0,0,3,0,1,1,Luton-Town-
Issa Kaboré,bf BFA,DF,22,24,21,1729,0,2,0,7,0,0,0,Luton-Town-
Amari'i Bell,jm JAM,DF,29,21,21,1720,0,0,0,0,0,0,0,Luton-Town-
Chiedozie Ogbene,ie IRL,"MF,DF",26,30,20,1995,4,1,0,1,0,4,4,Luton-Town-
Tahith Chong,nl NED,"MF,FW",23,33,20,1982,4,0,0,4,0,2,2,Luton-Town-
Reece Burke,eng ENG,DF,26,22,20,1660,0,4,0,5,0,1,1,Luton-Town-
Elijah Adebayo,eng ENG,FW,25,27,16,1419,10,0,0,1,0,5,5,Luton-Town-
Albert Sambi Lokonga,be BEL,MF,23,17,16,1303,1,3,0,4,0,0,0,Luton-Town-
Jordan Clark,eng ENG,MF,29,23,14,1304,1,1,0,4,0,1,1,Luton-Town-
Andros Townsend,eng ENG,"MF,FW",32,27,14,1210,1,3,0,1,0,1,1,Luton-Town-
Tom Lockyer,wls WAL,DF,28,14,14,1169,1,1,0,4,0,1,1,Luton-Town-
Marvelous Nakamba,zw ZIM,MF,29,13,13,1130,0,0,0,5,0,0,0,Luton-Town-
Jacob Brown,sct SCO,"MF,FW",25,19,12,1019,2,0,0,4,0,2,2,Luton-Town-
Pelly Ruddock Mpanzu,cd COD,MF,30,27,11,1101,0,0,0,1,0,0,0,Luton-Town-
Daiki Hashioka,jp JPN,DF,24,10,6,595,0,0,0,0,0,0,0,Luton-Town-
Ryan John Giles,eng ENG,"DF,MF",23,11,5,503,0,0,0,0,0,0,0,Luton-Town-
Fred Onyedinma,eng ENG,"DF,MF",26,8,4,407,0,0,0,1,0,0,0,Luton-Town-
Mads Juel Andersen,dk DEN,DF,25,8,4,400,1,0,0,1,0,0,0,Luton-Town-
Cauley Woodrow,eng ENG,"FW,MF",28,24,2,427,1,1,0,2,0,1,1,Luton-Town-
Luke Berry,eng ENG,"MF,DF",31,17,2,323,2,1,0,1,0,1,1,Luton-Town-
Joseph Johnson,eng ENG,DF,17,2,0,77,0,0,0,1,0,0,0,Luton-Town-
James Shea,eng ENG,GK,32,1,0,15,0,0,0,0,0,0,0,Luton-Town-
Zack Nelson,eng ENG,"MF,DF",18,2,0,7,0,0,0,0,0,0,0,Luton-Town-
Allan Campbell,sct SCO,MF,25,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Christian Chigozie,eng ENG,DF,16,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Aidan Francis,eng ENG,MF,20,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Taylan Harris,eng ENG,FW,17,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Tim Krul,nl NED,GK,35,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Jayden Luker,eng ENG,MF,18,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Dominic Martins,pt POR,MF,17,0,0,7,0,0,0,0,0,0,0,Luton-Town-
John Mcatee,eng ENG,"FW,MF",24,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Axel Piesold,eng ENG,MF,18,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Dan Potts,eng ENG,DF,29,0,0,7,0,0,0,0,0,0,0,Luton-Town-
Squad Total,NULL,NULL,26,38,418,3420,49,33,5,71,0,42,38,Luton-Town-
Opponent Total,NULL,NULL,26,38,418,3420,81,57,4,73,2,78,74,Luton-Town-
Sander Berge,no NOR,MF,25,37,34,3005,1,2,0,10,1,1,1,Burnley-
Dara O'Shea,ie IRL,DF,24,33,32,2892,3,4,0,5,1,0,0,Burnley-
James Trafford,eng ENG,GK,20,28,28,2520,0,0,0,2,0,0,0,Burnley-
Zeki Amdouni,ch SUI,FW,22,34,27,1953,5,1,1,2,0,5,5,Burnley-
Vitinho,br BRA,"DF,MF",24,32,26,2314,0,2,0,1,0,1,1,Burnley-
Charlie Taylor,eng ENG,DF,29,28,25,2331,1,1,0,8,0,0,0,Burnley-
Wilson Odobert,fr FRA,"MF,FW",18,29,25,2098,3,2,0,3,0,2,2,Burnley-
Josh Brownhill,eng ENG,MF,27,33,23,2252,4,2,0,4,1,1,1,Burnley-
Josh Cullen,ie IRL,MF,27,25,23,2057,2,3,0,9,0,0,0,Burnley-
Lyle Foster,za RSA,"FW,MF",22,24,22,1899,5,3,0,0,1,4,4,Burnley-
Jacob Bruun Larsen,dk DEN,"MF,FW",24,32,16,1249,6,0,1,1,0,5,4,Burnley-
Maxime Estève,fr FRA,DF,21,16,15,1309,0,0,0,6,0,0,0,Burnley-
Lorenz Assignon,tg TOG,DF,23,15,15,1234,1,2,0,5,1,0,0,Burnley-
Jordan Beyer,de GER,DF,23,15,15,1234,0,1,0,6,0,0,0,Burnley-
Luca Koleosho,it ITA,"MF,FW",18,15,13,974,1,1,0,0,0,2,2,Burnley-
Jóhann Berg Guðmundsson,is ISL,"MF,FW",32,26,12,1192,1,3,0,2,0,1,1,Burnley-
Ameen Al-Dakhil,be BEL,DF,21,13,12,1056,1,0,0,1,0,1,1,Burnley-
Arijanet Muric,xk KVX,GK,24,10,10,900,0,0,0,0,0,0,0,Burnley-
David Datro Fofana,ci CIV,FW,20,15,10,879,4,1,0,1,0,4,4,Burnley-
Connor Roberts,wls WAL,DF,27,14,8,823,0,1,0,5,1,0,0,Burnley-
Jay Rodriguez,eng ENG,FW,34,21,7,822,2,1,1,0,0,3,2,Burnley-
Hannes Delcroix,be BEL,DF,24,12,5,589,0,0,0,2,0,0,0,Burnley-
Aaron Ramsey,eng ENG,"MF,FW",20,14,5,527,0,0,0,1,0,0,0,Burnley-
Hjalmar Ekdal,se SWE,DF,24,8,5,437,0,0,0,2,0,0,0,Burnley-
Mike Trésor,be BEL,"FW,MF",24,16,3,420,0,0,0,0,0,0,0,Burnley-
Anass Zaroury,ma MAR,"FW,MF",22,6,1,152,0,0,0,0,1,0,0,Burnley-
Benson Manuel,ao ANG,"MF,FW",26,8,1,116,0,0,0,0,0,0,0,Burnley-
Nathan Redmond,eng ENG,"FW,MF",29,12,0,142,0,0,0,1,0,0,0,Burnley-
Jack Cork,eng ENG,MF,34,4,0,27,0,0,0,0,0,0,0,Burnley-
Michael Obafemi,ie IRL,"FW,MF",23,2,0,20,0,0,0,0,0,0,0,Burnley-
Han-Noah Massengo,fr FRA,"MF,DF",22,3,0,14,0,0,0,0,0,0,0,Burnley-
CJ Egan-Riley,eng ENG,DF,20,0,0,13,16,0,0,0,0,0,0,Burnley-
Lawrence Vigouroux,cl CHI,GK,29,0,0,16,0,0,0,0,0,0,0,Burnley-
Squad Total,NULL,NULL,24,38,418,3420,40,30,3,77,7,40,38,Burnley-
Opponent Total,NULL,NULL,26,38,418,3420,75,54,6,84,3,70,64,Burnley-
Gustavo Hamer,nl NED,MF,26,36,34,2910,4,6,0,9,0,3,3,Sheffield-United-
Jayden Bogle,eng ENG,DF,23,34,32,2788,3,0,0,9,0,2,2,Sheffield-United-
Jack Robinson,eng ENG,DF,29,34,31,2885,1,1,0,10,0,1,1,Sheffield-United-
Vinicius Souza,br BRA,MF,24,36,29,2668,1,0,0,3,0,0,0,Sheffield-United-
Anel Ahmedhodžić,ba BIH,DF,24,31,29,2649,2,0,0,11,1,3,3,Sheffield-United-
Wes Foderingham,eng ENG,GK,32,30,29,2649,0,0,0,2,0,0,0,Sheffield-United-
Auston Trusty,us USA,DF,24,32,28,2572,0,0,0,4,0,0,0,Sheffield-United-
Cameron Archer,eng ENG,"FW,MF",22,29,21,1832,4,1,0,1,0,5,5,Sheffield-United-
James Mcatee,eng ENG,"MF,FW",20,30,20,1822,3,3,1,2,0,3,2,Sheffield-United-
Oliver Norwood,nir NIR,MF,32,27,16,1440,1,0,1,8,0,1,0,Sheffield-United-
Oliver McBurnie,sct SCO,FW,27,21,15,1280,6,3,2,7,2,6,5,Sheffield-United-
Ben Osborn,eng ENG,"DF,MF",28,24,14,1367,0,2,0,3,0,0,0,Sheffield-United-
Ben Brereton,cl CHI,"FW,MF",24,14,14,1105,6,1,1,3,0,6,5,Sheffield-United-
Andre Brooks,eng ENG,"MF,DF",19,20,12,938,0,0,0,1,0,0,0,Sheffield-United-
George Baldock,gr GRE,DF,30,13,11,969,0,1,0,4,0,0,0,Sheffield-United-
Oliver Arblaster,eng ENG,MF,19,12,11,943,0,0,0,2,0,0,0,Sheffield-United-
Luke Thomas,eng ENG,DF,22,12,11,917,0,0,0,3,0,0,0,Sheffield-United-
William Osula,dk DEN,FW,19,21,9,786,0,0,0,4,0,1,1,Sheffield-United-
Ivo Grbić,hr CRO,GK,27,9,9,771,0,0,0,1,0,0,0,Sheffield-United-
Mason Holgate,eng ENG,DF,26,10,9,710,0,0,0,3,1,0,0,Sheffield-United-
Yasser Larouci,dz ALG,DF,22,11,6,531,0,0,0,1,0,0,0,Sheffield-United-
John Egan,ie IRL,DF,30,6,6,482,0,0,0,2,0,0,0,Sheffield-United-
Max Lowe,eng ENG,"DF,MF",26,10,4,503,0,0,0,1,0,0,0,Sheffield-United-
Anis Ben Slimane,tn TUN,MF,22,15,4,419,0,0,0,2,0,0,0,Sheffield-United-
Bénie Adama Traore,ci CIV,"FW,MF",20,8,3,387,0,0,0,0,0,0,0,Sheffield-United-
Rhian Brewster,eng ENG,"FW,MF",23,13,3,346,0,0,0,0,1,0,0,Sheffield-United-
Chris Basham,eng ENG,"DF,MF",35,8,3,321,0,0,0,1,0,0,0,Sheffield-United-
Tom Davies,eng ENG,MF,25,9,2,221,0,0,0,2,0,0,0,Sheffield-United-
Rhys Norrington-Davies,wls WAL,DF,24,5,2,110,0,0,0,1,0,0,0,Sheffield-United-
John Fleck,sct SCO,"MF,DF",31,4,1,92,0,0,0,1,0,0,0,Sheffield-United-
Sam Curtis,ie IRL,DF,17,1,0,28,0,0,0,0,0,0,0,Sheffield-United-
Daniel Jebbison,eng ENG,FW,19,1,0,21,0,0,0,0,0,0,0,Sheffield-United-
Antwoine Hackford,eng ENG,FW,19,2,0,13,0,0,0,0,0,0,0,Sheffield-United-
Sydie Peck,eng ENG,MF,18,1,0,10,0,0,0,0,0,0,0,Sheffield-United-
Ryan One,sct SCO,FW,17,1,0,8,0,0,0,0,0,0,0,Sheffield-United-
Jordan Amissah,gh GHA,GK,21,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Billy Blacker,eng ENG,FW,17,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Jili Buyabu,eng ENG,MF,21,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Ismaila Cheick Coulibaly,ml MLI,MF,22,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Adam Davies,wls WAL,GK,31,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Owen Hampson,eng ENG,MF,18,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Louie Marsh,eng ENG,FW,19,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Dovydas Sasnauskas,NULL,DF,19,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Femi Seriki,eng ENG,DF,21,0,0,8,0,0,0,0,0,0,0,Sheffield-United-
Squad Total,NULL,df,25,38,418,3420,31,18,5,101,5,38,34,Sheffield-United-
Opponent Total,NULL,full,26,38,418,3420,97,75,5,53,2,76,71,Sheffield-United-
