Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Giovani Lo Celso,ar ARG,MF,27,22,4,506,2,2,0,2,0,0,0,Tottenham-Hotspur-
Radu Drăgușin,ro ROU,DF,21,9,4,429,0,0,0,1,0,0,0,Tottenham-Hotspur-
Bryan Gil,es ESP,"FW,MF",22,11,2,209,0,0,0,0,0,0,0,Tottenham-Hotspur-
Manor Solomon,il ISR,FW,24,5,2,199,0,2,0,1,0,0,0,Tottenham-Hotspur-
Eric Dier,eng ENG,DF,29,4,1,201,0,0,0,0,0,0,0,Tottenham-Hotspur-
Ivan Perišić,hr CRO,FW,34,5,0,103,0,1,0,2,0,0,0,Tottenham-Hotspur-
Davinson Sánchez,co COL,DF,27,1,0,77,0,0,0,1,0,0,0,Tottenham-Hotspur-
Alejo Véliz,ar ARG,FW,19,8,0,50,1,0,0,1,0,0,0,Tottenham-Hotspur-
Dane Scarlett,eng ENG,FW,19,4,0,22,0,0,0,0,0,0,0,Tottenham-Hotspur-
Mikey Moore,eng ENG,MF,15,2,0,4,0,0,0,0,0,0,0,Tottenham-Hotspur-
Jamie Donley,eng ENG,FW,18,3,0,3,0,0,0,1,0,0,0,Tottenham-Hotspur-
Brandon Austin,eng ENG,GK,24,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Alfie Dorrington,eng ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Fraser Forster,eng ENG,GK,35,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Tyrese Hall,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Ashley Phillips,wls WAL,DF,18,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Yago Santiago,es ESP,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Alfie Whiteman,eng ENG,GK,24,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur-
Squad Total,NULL,NULL,25,38,418,3420,69,58,2,92,4,68,66,Tottenham-Hotspur-
Opponent Total,NULL,NULL,26,38,418,3420,58,39,7,100,4,63,58,Tottenham-Hotspur-
Conor Gallagher,eng ENG,MF,23,37,37,3128,5,7,0,9,1,4,4,Chelsea-
Moisés Caicedo,ec ECU,MF,21,35,33,2866,1,3,0,11,0,0,0,Chelsea-
Nicolas Jackson,sn SEN,FW,22,35,31,2799,14,5,0,10,0,18,18,Chelsea-
Cole Palmer,eng ENG,"FW,MF",21,33,29,2607,22,11,9,7,0,18,11,Chelsea-
Axel Disasi,fr FRA,DF,25,31,29,2579,2,0,0,6,0,2,2,Chelsea-
Thiago Silva,br BRA,DF,38,31,28,2527,3,1,0,4,0,0,0,Chelsea-
Enzo Fernández,ar ARG,MF,22,28,26,2209,3,2,1,7,0,6,4,Chelsea-
Đorđe Petrović,rs SRB,GK,23,23,22,1987,0,0,0,2,0,0,0,Chelsea-
Raheem Sterling,eng ENG,"FW,MF",28,31,22,1978,8,4,0,7,0,6,6,Chelsea-
Levi Colwill,eng ENG,DF,20,23,20,1797,1,1,0,2,0,1,1,Chelsea-
Marc Cucurella,es ESP,DF,25,21,20,1782,0,2,0,10,0,1,1,Chelsea-
Malo Gusto,fr FRA,DF,20,27,19,1751,0,6,0,7,1,0,0,Chelsea-
Mykhailo Mudryk,ua UKR,FW,22,31,18,1576,5,2,0,5,0,4,4,Chelsea-
Robert Sánchez,es ESP,GK,25,16,16,1433,0,0,0,2,0,0,0,Chelsea-
Benoît Badiashile,fr FRA,DF,22,18,15,1338,0,1,0,3,0,0,0,Chelsea-
Noni Madueke,eng ENG,FW,21,23,13,1053,5,2,1,2,0,2,1,Chelsea-
Trevoh Chalobah,eng ENG,DF,24,13,10,952,1,0,0,1,0,0,0,Chelsea-
Ben Chilwell,eng ENG,DF,26,13,9,756,0,1,0,5,0,1,1,Chelsea-
Armando Broja,al ALB,FW,21,13,6,454,1,0,0,0,0,2,2,Chelsea-
Reece James,eng ENG,DF,23,10,5,419,0,2,0,2,2,0,0,Chelsea-
Lesley Ugochukwu,fr FRA,MF,19,12,3,301,0,0,0,2,0,0,0,Chelsea-
Christopher Nkunku,fr FRA,"FW,MF",25,11,2,443,3,0,0,0,0,2,2,Chelsea-
Carney Chukwuemeka,eng ENG,"MF,FW",19,9,2,227,1,1,0,2,0,0,0,Chelsea-
Alfie Gilchrist,eng ENG,DF,19,11,2,207,1,0,0,1,0,0,0,Chelsea-
Ian Maatsen,nl NED,"FW,MF",21,12,1,209,0,0,0,1,0,0,0,Chelsea-
Cesare Casadei,it ITA,"FW,MF",20,11,0,79,0,0,0,0,0,0,0,Chelsea-
Roméo Lavia,be BEL,MF,19,1,0,33,0,0,0,0,0,0,0,Chelsea-
Deivid Washington,br BRA,"DF,FW",18,2,0,13,0,0,0,0,0,0,0,Chelsea-
Mason Burstow,eng ENG,FW,19,2,0,9,0,0,0,0,0,0,0,Chelsea-
Joshua Acheampong,eng ENG,DF,17,1,0,6,0,0,0,0,0,0,0,Chelsea-
Alex Matos,eng ENG,MF,18,1,0,1,0,0,0,0,0,0,0,Chelsea-
Jimi Tauriainen,eng ENG,FW,19,1,0,1,0,0,0,0,0,0,0,Chelsea-
Marcus Bettinelli,eng ENG,GK,31,0,0,0,0,0,0,1,0,0,0,Chelsea-
Eddie Beach,wls WAL,GK,19,0,0,0,0,0,0,0,0,0,0,Chelsea-
Lucas Bergström,fi FIN,GK,20,0,0,0,0,0,0,0,0,0,0,Chelsea-
Joshua Brooking,eng ENG,DF,20,0,0,0,0,0,0,0,0,0,0,Chelsea-
Leo Castledine,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Chelsea-
Ted Curd,eng ENG,GK,17,0,0,0,0,0,0,0,0,0,0,Chelsea-
Kiano Dyer,eng ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Chelsea-
Tyrique George,eng ENG,FW,17,0,0,0,0,0,0,0,0,0,0,Chelsea-
Ollie Harrison,eng ENG,MF,15,0,0,0,0,0,0,0,0,0,0,Chelsea-
Bashir Humphreys,eng ENG,DF,20,0,0,0,0,0,0,0,0,0,0,Chelsea-
Diego Moreira,pt POR,MF,18,0,0,0,0,0,0,0,0,0,0,Chelsea-
Ishé Samuels-Smith,eng ENG,DF,17,0,0,0,0,0,0,0,0,0,0,Chelsea-
Andrey Santos,br BRA,MF,19,0,0,0,0,0,0,0,0,0,0,Chelsea-
Teddy Sharman,eng ENG,GK,20,0,0,0,0,0,0,0,0,0,0,Chelsea-
Zak Sturge,eng ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Chelsea-
Ronnie Stutter,eng ENG,FW,18,0,0,0,0,0,0,0,0,0,0,Chelsea-
Squad Total,NULL,NULL,24,38,418,3420,76,51,11,109,4,74,65,Chelsea-
Opponent Total,NULL,NULL,26,38,418,3420,60,43,3,100,4,58,54,Chelsea-
Bruno Guimarães,br BRA,MF,25,0,37,3263,7,8,0,9,0,4,4,Newcastle-United-
Fabian Schär,ch SUI,DF,31,0,35,3054,4,1,0,5,0,2,2,Newcastle-United-
Anthony Gordon,eng ENG,FW,22,0,34,2890,11,10,1,12,1,10,9,Newcastle-United-
Dan Burn,eng ENG,DF,31,0,32,2726,2,2,0,4,0,3,3,Newcastle-United-
Sean Longstaff,eng ENG,MF,25,0,30,2747,6,2,0,7,0,6,6,Newcastle-United-
Alexander Isak,se SWE,FW,23,0,27,2255,21,2,5,1,0,20,15,Newcastle-United-
Kieran Trippier,eng ENG,DF,32,0,26,2236,1,10,0,5,0,0,0,Newcastle-United-
Miguel Almirón,py PAR,FW,29,0,23,1937,3,1,0,2,0,4,4,Newcastle-United-
Martin Dúbravka,sk SVK,GK,34,0,22,1985,0,0,0,1,0,0,0,Newcastle-United-
Sven Botman,nl NED,DF,23,0,15,1377,2,2,0,2,0,0,0,Newcastle-United-
Nick Pope,eng ENG,GK,31,0,15,1345,0,0,0,1,0,0,0,Newcastle-United-
Joelinton,br BRA,"MF,FW",26,0,15,1279,2,1,0,6,0,3,3,Newcastle-United-
Lewis Miley,eng ENG,MF,17,0,14,1202,1,3,0,1,0,1,1,Newcastle-United-
Jacob Murphy,eng ENG,"FW,DF",28,0,14,1189,3,7,0,1,0,2,2,Newcastle-United-
