Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Marcos Senesi,ar ARG,DF,26,0,26,2242,24.9,4,5,0,13,0,2.0,2.0
Justin Kluivert,nl NED,"MF,FW",24,0,26,1916,21.3,7,1,0,5,0,6.2,6.2
Adam Smith,eng ENG,DF,32,0,25,2150,23.9,0,2,0,6,0,0.1,0.1
Marcus Tavernier,eng ENG,FW,24,0,25,2118,23.5,3,4,0,3,0,3.9,3.9
Antoine Semenyo,gh GHA,FW,23,0,25,2105,23.4,8,2,0,6,0,4.6,4.6
Milos Kerkez,hu HUN,DF,19,0,22,1970,21.9,0,1,0,4,1,1.2,1.2
Lloyd Kelly,eng ENG,DF,24,0,17,1559,17.3,0,1,0,2,0,0.3,0.3
Philip Billing,dk DEN,MF,27,0,13,1398,15.5,2,2,0,3,1,2.5,2.5
Max Aarons,eng ENG,DF,23,0,13,1237,13.7,0,1,0,1,0,0.0,0.0
Dango Ouattara,bf BFA,"FW,DF",21,0,12,1229,13.7,1,2,0,3,0,2.6,2.6
Alex Scott,eng ENG,MF,19,0,11,1014,11.3,1,1,0,3,0,0.7,0.7
Luis Sinisterra,co COL,"FW,MF",24,0,7,699,7.8,2,2,0,0,0,2.5,2.5
Chris Mepham,wls WAL,DF,25,0,6,617,6.9,0,1,0,2,0,0.1,0.1
Mark Travers,ie IRL,GK,24,0,4,360,4.0,0,0,0,0,0,0.0,0.0
Joe Rothwell,eng ENG,MF,28,0,3,386,4.3,0,0,0,0,0,0.1,0.1
Enes Ãœnal,tr TUR,"FW,MF",26,0,2,328,3.6,2,2,0,1,0,2.9,2.9
David Brooks,wls WAL,"FW,MF",26,0,2,282,3.1,1,1,0,1,0,2.2,2.2
IonuÈ› Radu,ro ROU,GK,26,0,2,180,2.0,0,0,0,0,0,0.0,0.0
Jaidon Anthony,eng ENG,FW,23,0,2,152,1.7,0,0,0,1,0,0.1,0.1
Tyler Adams,us USA,MF,24,0,1,121,1.3,0,0,0,0,0,0.0,0.0
James Hill,eng ENG,DF,21,0,1,76,0.8,0,0,0,0,0,0.0,0.0
Kieffer Moore,wls WAL,"FW,MF",30,0,0,108,1.2,1,0,0,0,0,1.5,1.5
Hamed Junior TraorÃ¨,ci CIV,MF,23,0,0,47,0.5,0,0,0,0,0,0.2,0.2
Romain Faivre,fr FRA,"MF,FW",25,0,0,41,0.5,0,0,0,1,0,0.2,0.2
Dominic Sadi,eng ENG,FW,19,0,0,1,0.0,0,0,0,0,0,0.0,0.0
Michael DaCosta,es ESP,FW,18,0,0,0,,0,0,0,0,0,,
Ben Greenwood,ie IRL,DF,20,0,0,0,,0,0,0,0,0,,
Gavin Kilkenny,ie IRL,MF,23,0,0,0,,0,0,0,0,0,,
Emiliano Marcondes,dk DEN,"FW,MF",28,0,0,0,,0,0,0,0,0,,
Callan Mckenna,sct SCO,GK,16,0,0,0,,0,0,0,0,0,,
Darren Randolph,ie IRL,GK,36,0,0,0,,0,0,0,0,0,,
Maxwell Wellings,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,0,418,3420,38.0,52,39,2,79,3,55.9,53.6
Opponent Total,,,26,0,418,3420,38.0,66,44,6,82,2,58.1,52.5
Bernd Leno,de GER,GK,31,38,38,3420,38.0,0,0,0,3,0,0.0,0.0
Antonee Robinson,us USA,DF,25,37,37,3265,36.3,0,6,0,6,0,0.7,0.7
Andreas Pereira,br BRA,MF,27,37,34,2613,29.0,3,7,0,6,0,4.6,4.6
JoÃ£o Palhinha,pt POR,MF,28,33,31,2699,30.0,4,1,0,13,0,3.3,3.3
Timothy Castagne,be BEL,DF,27,34,29,2634,29.3,1,3,0,3,0,1.6,1.6
Calvin Bassey,ng NGA,DF,23,29,25,2303,25.6,1,0,0,6,1,0.3,0.3
Alex Iwobi,ng NGA,"FW,MF",27,30,25,2192,24.4,5,2,0,2,0,5.3,5.3
Willian,br BRA,FW,34,31,24,2053,22.8,4,2,2,1,0,5.1,3.6
Tosin Adarabioyo,eng ENG,DF,25,20,18,1617,18.0,2,0,0,2,0,0.7,0.7
Rodrigo Muniz,br BRA,FW,22,26,18,1593,17.7,9,1,0,1,0,8.7,8.7
RaÃºl JimÃ©nez,mx MEX,FW,32,24,18,1395,15.5,7,0,0,3,1,5.2,5.2
Tim Ream,us USA,DF,35,18,17,1503,16.7,1,0,0,4,1,1.0,1.0
