Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Tyrique George,eng ENG,FW,17,0,0,0,,0,0,0,0,0,,
Ollie Harrison,eng ENG,MF,15,0,0,0,,0,0,0,0,0,,
Bashir Humphreys,eng ENG,DF,20,0,0,0,,0,0,0,0,0,,
Diego Moreira,pt POR,MF,18,0,0,0,,0,0,0,0,0,,
IshÃ© Samuels-Smith,eng ENG,DF,17,0,0,0,,0,0,0,0,0,,
Andrey Santos,br BRA,MF,19,0,0,0,,0,0,0,0,0,,
Teddy Sharman,eng ENG,GK,20,0,0,0,,0,0,0,0,0,,
Zak Sturge,eng ENG,DF,19,0,0,0,,0,0,0,0,0,,
Ronnie Stutter,eng ENG,FW,18,0,0,0,,0,0,0,0,0,,
Squad Total,,,24,38,418,3420,38.0,76,51,11,109,4,74.5,65.1
Opponent Total,,,26,38,418,3420,38.0,60,43,3,100,4,58.1,54.1
Bruno GuimarÃ£es,br BRA,MF,25,0,37,3263,36.3,7,8,0,9,0,4.8,4.8
Fabian SchÃ¤r,ch SUI,DF,31,0,35,3054,33.9,4,1,0,5,0,2.5,2.5
Anthony Gordon,eng ENG,FW,22,0,34,2890,32.1,11,10,1,12,1,10.2,9.4
Dan Burn,eng ENG,DF,31,0,32,2726,30.3,2,2,0,4,0,3.1,3.1
Sean Longstaff,eng ENG,MF,25,0,30,2747,30.5,6,2,0,7,0,6.6,6.6
Alexander Isak,se SWE,FW,23,0,27,2255,25.1,21,2,5,1,0,20.3,15.6
Kieran Trippier,eng ENG,DF,32,0,26,2236,24.8,1,10,0,5,0,0.7,0.7
Miguel AlmirÃ³n,py PAR,FW,29,0,23,1937,21.5,3,1,0,2,0,4.5,4.5
Martin DÃºbravka,sk SVK,GK,34,0,22,1985,22.1,0,0,0,1,0,0.0,0.0
Sven Botman,nl NED,DF,23,0,15,1377,15.3,2,2,0,2,0,0.6,0.6
Nick Pope,eng ENG,GK,31,0,15,1345,14.9,0,0,0,1,0,0.0,0.0
Joelinton,br BRA,"MF,FW",26,0,15,1279,14.2,2,1,0,6,0,3.1,3.1
Lewis Miley,eng ENG,MF,17,0,14,1202,13.4,1,3,0,1,0,1.2,1.2
Jacob Murphy,eng ENG,"FW,DF",28,0,14,1189,13.2,3,7,0,1,0,2.1,2.1
Jamaal Lascelles,eng ENG,DF,29,0,13,1080,12.0,1,0,0,4,0,0.7,0.7
Valentino Livramento,eng ENG,DF,20,0,12,1314,14.6,1,0,0,1,0,0.4,0.4
Elliot Anderson,sct SCO,"MF,FW",20,0,10,1027,11.4,0,2,0,3,0,1.5,1.5
Callum Wilson,eng ENG,FW,31,0,9,991,11.0,9,1,2,3,0,8.8,7.2
Emil Krafth,se SWE,DF,28,0,8,913,10.1,0,0,0,2,0,0.2,0.2
Lewis Hall,eng ENG,DF,18,0,8,781,8.7,1,0,0,2,0,0.3,0.3
Harvey Barnes,eng ENG,"FW,MF",25,0,7,802,8.9,5,3,0,2,0,3.6,3.6
Sandro Tonali,it ITA,MF,23,0,5,438,4.9,1,0,0,2,0,0.7,0.7
Joe Willock,eng ENG,MF,23,0,5,419,4.7,1,0,0,0,0,0.8,0.8
Loris Karius,de GER,GK,30,0,1,90,1.0,0,0,0,0,0,0.0,0.0
Matt Targett,eng ENG,DF,27,0,1,78,0.9,0,0,0,1,0,0.0,0.0
Matt Ritchie,sct SCO,"FW,MF",33,0,0,128,1.4,1,0,0,1,0,1.0,1.0
Ben Parkinson,eng ENG,FW,18,0,0,25,0.3,0,0,0,0,0,0.0,0.0
Paul Dummett,wls WAL,DF,31,0,0,20,0.2,0,0,0,0,0,0.0,0.0
Alex Murphy,ie IRL,"DF,FW",19,0,0,13,0.1,0,0,0,0,0,0.0,0.0
Joe White,eng ENG,MF,20,0,0,13,0.1,0,0,0,1,0,0.0,0.0
Amadou Diallo,eng ENG,MF,20,0,0,1,0.0,0,0,0,0,0,0.0,0.0
Michael Ndiweni,eng ENG,FW,19,0,0,1,0.0,0,0,0,0,0,0.0,0.0
Mark Gillespie,eng ENG,GK,31,0,0,0,,0,0,0,0,0,,
Travis Hearnes,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Javier Manquillo,es ESP,DF,29,0,0,0,,0,0,0,0,0,,
Squad Total,,,27,0,418,3420,38.0,83,55,8,79,1,76.0,69.0
Opponent Total,,,26,0,418,3420,38.0,61,47,4,97,3,61.4,57.4
AndrÃ© Onana,cm CMR,GK,27,38,38,3420,38.0,0,0,0,5,0,0.0,0.0
Diogo Dalot,pt POR,DF,24,36,35,3174,35.3,2,3,0,6,1,1.7,1.7
Bruno Fernandes,pt POR,"MF,FW",28,35,35,3118,34.6,10,8,4,9,0,10.0,6.1
Alejandro Garnacho,ar ARG,FW,19,36,30,2565,28.5,7,4,0,4,0,8.4,8.3
Marcus Rashford,eng ENG,FW,25,33,26,2271,25.2,7,2,2,2,0,7.4,5.8
Rasmus HÃ¸jlund,dk DEN,FW,20,30,25,2158,24.0,10,2,0,2,0,7.6,7.6
Casemiro,br BRA,"MF,DF",31,25,24,1982,22.0,1,2,0,7,0,3.5,3.5
Kobbie Mainoo,eng ENG,MF,18,24,24,1924,21.4,3,1,0,3,0,0.9,0.9
Aaron Wan-Bissaka,eng ENG,DF,25,22,20,1780,19.8,0,2,0,4,0,0.1,0.1
Scott McTominay,sct SCO,"MF,FW",26,32,18,1901,21.1,7,1,0,2,0,5.7,5.7
Harry Maguire,eng ENG,DF,30,22,18,1653,18.4,2,2,0,4,0,2.0,2.0
RaphaÃ«l Varane,fr FRA,DF,30,22,16,1375,15.3,1,0,0,2,0,1.3,1.3
Jonny Evans,nir NIR,DF,35,23,15,1392,15.5,0,1,0,2,0,0.1,0.1
Antony,br BRA,FW,23,29,15,1324,14.7,1,1,0,5,0,3.4,3.4
Victor LindelÃ¶f,se SWE,DF,29,19,14,1328,14.8,1,1,0,2,0,0.8,0.8
Christian Eriksen,dk DEN,MF,31,22,12,1141,12.7,1,2,0,1,0,1.0,1.0
Luke Shaw,eng ENG,DF,28,12,12,959,10.7,0,0,0,6,0,0.0,0.0
Sofyan Amrabat,ma MAR,"MF,DF",26,21,10,938,10.4,0,0,0,6,0,0.1,0.1
Lisandro MartÃ­nez,ar ARG,DF,25,11,8,646,7.2,0,1,0,3,0,0.0,0.0
Mason Mount,eng ENG,"MF,FW",24,14,5,516,5.7,1,0,0,2,0,0.4,0.4
Anthony Martial,fr FRA,FW,27,13,5,448,5.0,1,0,0,0,0,1.2,1.2
Sergio ReguilÃ³n,es ESP,DF,26,9,4,412,4.6,0,0,0,3,0,0.2,0.2
Amad Diallo,ci CIV,"FW,MF",21,9,3,390,4.3,1,1,0,1,0,0.5,0.5
Willy Kambwala,fr FRA,DF,18,8,3,330,3.7,0,0,0,1,0,0.0,0.0
Facundo Pellistri,uy URU,"FW,MF",21,9,1,172,1.9,0,1,0,0,0,0.7,0.7
Hannibal Mejbri,tn TUN,"MF,FW",20,5,1,133,1.5,1,0,0,1,0,0.0,0.0
Omari Forson,eng ENG,FW,19,4,1,70,0.8,0,1,0,0,0,0.0,0.0
Jadon Sancho,eng ENG,"FW,MF",23,3,0,79,0.9,0,0,0,0,0,0.0,0.0
Ethan Wheatley,eng ENG,FW,17,3,0,16,0.2,0,0,0,0,0,0.0,0.0
Donny van de Beek,nl NED,DF,26,1,0,3,0.0,0,0,0,0,0,0.0,0.0
Daniel Gore,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Harry Amass,eng ENG,DF,16,0,0,0,,0,0,0,0,0,,
Altay BayÄ±ndÄ±r,tr TUR,GK,25,0,0,0,,0,0,0,0,0,,
Rhys Bennett,eng ENG,DF,19,0,0,0,,0,0,0,0,0,,
Ãlvaro Carreras,es ESP,"DF,MF",20,0,0,0,,0,0,0,0,0,,
Toby Collyer,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
Tom Heaton,eng ENG,GK,37,0,0,0,,0,0,0,0,0,,
Dean Henderson,eng ENG,GK,26,0,0,0,,0,0,0,0,0,,
Joe Hugill,eng ENG,FW,19,0,0,0,,0,0,0,0,0,,
Louis Jackson,sct SCO,DF,17,0,0,0,,0,0,0,0,0,,
Dermot Mee,nir NIR,GK,20,0,0,0,,0,0,0,0,0,,
Habeeb Ogunneye,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Radek VÃ­tek,,GK,19,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,38,418,3420,38.0,57,36,6,83,1,56.5,51.0
Opponent Total,,,26,38,418,3420,38.0,57,39,7,85,1,68.9,63.4
VladimÃ­r Coufal,cz CZE,DF,30,36,36,3132,34.8,0,7,0,7,1,0.3,0.3
Emerson Palmieri,it ITA,DF,28,36,35,3137,34.9,1,2,0,10,0,1.5,1.5
Jarrod Bowen,eng ENG,FW,26,34,34,3019,33.5,16,6,0,2,0,11.6,11.6
James Ward-Prowse,eng ENG,MF,28,37,34,3001,33.3,7,7,2,4,0,6.0,4.4
TomÃ¡Å¡ SouÄek,cz CZE,MF,28,37,34,2870,31.9,7,2,0,7,0,6.7,6.7
Kurt Zouma,fr FRA,DF,28,33,32,2838,31.5,3,0,0,3,0,1.8,1.8
Alphonse Areola,fr FRA,GK,30,31,31,2699,30.0,0,0,0,1,0,0.0,0.0
Lucas PaquetÃ¡,br BRA,"FW,MF",25,31,31,2622,29.1,4,6,2,10,0,5.4,3.8
Edson Ãlvarez,mx MEX,MF,25,31,28,2377,26.4,1,1,0,11,0,1.3,1.3
Mohammed Kudus,gh GHA,"FW,MF",22,33,27,2484,27.6,8,6,0,6,0,5.1,5.1
Nayef Aguerd,ma MAR,DF,27,21,21,1857,20.6,1,0,0,3,1,1.5,1.5
Michail Antonio,jm JAM,FW,33,26,21,1695,18.8,6,2,0,6,0,5.8,5.8
Konstantinos Mavropanos,gr GRE,DF,25,19,16,1500,16.7,1,0,0,2,0,1.2,1.2
Åukasz FabiaÅ„ski,pl POL,GK,38,10,7,721,8.0,0,0,0,0,0,0.0,0.0
Angelo Ogbonna,it ITA,DF,35,11,7,635,7.1,0,0,0,1,0,0.0,0.0
SaÃ¯d Benrahma,dz ALG,"FW,MF",27,13,5,620,6.9,0,1,0,1,0,1.8,1.0
Ben Johnson,eng ENG,"DF,FW",23,14,4,544,6.0,0,0,0,1,0,0.2,0.2
Aaron Cresswell,eng ENG,"DF,FW",33,11,4,436,4.8,0,0,0,1,0,0.0,0.0
Pablo Fornals,es ESP,"MF,FW",27,15,4,426,4.7,0,0,0,0,0,0.3,0.3
Danny Ings,eng ENG,FW,31,20,3,404,4.5,1,0,0,1,0,1.3,1.3
Kalvin Phillips,eng ENG,MF,27,8,3,309,3.4,0,0,0,3,1,0.1,0.1
Maxwel Cornet,ci CIV,"MF,FW",26,7,1,112,1.2,1,0,0,0,0,0.4,0.4
Divin Mubama,eng ENG,FW,18,5,0,80,0.9,0,0,0,0,0,0.1,0.1
George Earthy,eng ENG,FW,18,3,0,34,0.4,1,0,0,0,0,0.3,0.3
Thilo Kehrer,de GER,"DF,MF",26,4,0,22,0.2,0,0,0,2,0,0.0,0.0
Kaelan Casey,eng ENG,DF,18,1,0,1,0.0,0,0,0,0,0,0.0,0.0
Joseph Anang,eng ENG,GK,23,0,0,0,,0,0,0,0,0,,
Conor Coventry,ie IRL,MF,23,0,0,0,,0,0,0,0,0,,
Levi Laing,eng ENG,DF,20,0,0,0,,0,0,0,0,0,,
Callum Marshall,nir NIR,DF,18,0,0,0,,0,0,0,0,0,,
Lewis Orford,eng ENG,MF,17,0,0,0,,0,0,0,0,0,,
Oliver Scarles,eng ENG,DF,17,0,0,0,,0,0,0,0,0,,
Squad Total,,,28,38,418,3420,38.0,58,40,4,82,3,52.3,48.4
Opponent Total,,,26,38,418,3420,38.0,70,51,8,71,2,71.1,63.2
Joachim Andersen,dk DEN,DF,27,0,38,3415,37.9,2,3,0,7,0,1.7,1.7
Tyrick Mitchell,eng ENG,"DF,MF",23,0,37,3204,35.6,2,3,0,6,0,1.6,1.6
Jordan Ayew,gh GHA,"FW,MF",31,0,30,2543,28.3,4,7,0,9,1,3.9,3.9
Jefferson Lerma,co COL,"MF,DF",28,0,27,2400,26.7,1,1,0,8,0,2.7,2.7
Jean-Philippe Mateta,fr FRA,FW,26,0,25,2282,25.4,16,5,2,3,0,10.9,9.4
Eberechi Eze,eng ENG,"MF,FW",25,0,24,2055,22.8,11,4,1,3,0,9.1,8.3
Chris Richards,us USA,"DF,MF",23,0,23,2094,23.3,1,1,0,3,0,0.6,0.6
Marc GuÃ©hi,eng ENG,DF,23,0,23,2021,22.5,0,1,0,2,0,0.6,0.6
Joel Ward,eng ENG,DF,33,0,23,1980,22.0,0,1,0,4,0,0.9,0.9
Will Hughes,eng ENG,MF,28,0,23,1891,21.0,0,1,0,6,0,0.3,0.3
Sam Johnstone,eng ENG,GK,30,0,20,1796,20.0,0,0,0,1,0,0.0,0.0
Dean Henderson,eng ENG,GK,26,0,18,1620,18.0,0,0,0,2,0,0.0,0.0
Odsonne Ã‰douard,fr FRA,"FW,MF",25,0,17,1555,17.3,7,0,0,4,0,6.2,6.2
Jeffrey Schlupp,gh GHA,"FW,MF",30,0,17,1352,15.0,2,2,0,1,0,1.8,1.8
Daniel MuÃ±oz,co COL,"DF,MF",27,0,16,1439,16.0,0,4,0,4,0,1.2,1.2
Adam Wharton,eng ENG,MF,19,0,15,1297,14.4,0,3,0,2,0,0.3,0.3
Nathaniel Clyne,eng ENG,DF,32,0,14,1338,14.9,0,0,0,0,0,0.2,0.2
Michael Olise,fr FRA,"FW,MF",21,0,14,1275,14.2,10,6,1,0,0,5.5,4.7
Cheick DoucourÃ©,ml MLI,MF,23,0,11,919,10.2,0,0,0,2,0,0.3,0.3
JaÃ¯ro Riedewald,nl NED,"MF,FW",26,0,2,235,2.6,0,0,0,0,0,0.0,0.0
Matheus FranÃ§a,br BRA,"MF,FW",19,0,1,232,2.6,0,1,0,1,0,0.4,0.4
Naouirou Ahamada,fr FRA,"MF,FW",21,0,0,349,3.9,0,0,0,4,1,0.5,0.5
David Ozoh,eng ENG,"MF,DF",18,0,0,156,1.7,0,0,0,1,0,0.0,0.0
Jesurun Rak Sakyi,eng ENG,"MF,FW",20,0,0,136,1.5,0,0,0,0,0,0.4,0.4
James Tomkins,eng ENG,DF,34,0,0,10,0.1,0,0,0,0,0,0.0,0.0
Remi Matthews,eng ENG,GK,29,0,0,4,0.0,0,0,0,0,0,0.0,0.0
Tayo Adaramola,ie IRL,DF,19,0,0,0,,0,0,0,0,0,,
Malcolm Ebiowei,eng ENG,MF,19,0,0,0,,0,0,0,0,0,,
John-Kymani Gordon,eng ENG,"FW,MF",20,0,0,0,,0,0,0,0,0,,
Rob Holding,eng ENG,DF,27,0,0,0,,0,0,0,0,0,,
Roshaun Mathurin,eng ENG,FW,19,0,0,0,,0,0,0,0,0,,
Ademola Ola-Adebomi,eng ENG,FW,19,0,0,0,,0,0,0,0,0,,
Luke Plange,eng ENG,FW,20,0,0,0,,0,0,0,0,0,,
Jadan Raymond,wls WAL,MF,19,0,0,0,,0,0,0,0,0,,
Kaden Rodney,eng ENG,DF,18,0,0,0,,0,0,0,0,0,,
Franco Umeh-Chibueze,ie IRL,MF,18,0,0,0,,0,0,0,0,0,,
Joseph Whitworth,eng ENG,GK,19,0,0,0,,0,0,0,0,0,,
Squad Total,,,26,0,418,3420,38.0,56,43,4,73,2,48.6,45.4
Opponent Total,,,26,0,418,3420,38.0,56,46,3,78,2,52.0,49.6
Pascal GroÃŸ,de GER,"MF,DF",32,36,34,3114,34.6,4,10,1,6,0,6.5,5.7
Lewis Dunk,eng ENG,DF,31,33,33,2869,31.9,3,1,0,7,1,3.1,3.1
Jan Paul van Hecke,nl NED,DF,23,28,26,2369,26.3,0,0,0,4,0,1.2,1.2
Simon Adingra,ci CIV,FW,21,31,25,2222,24.7,6,1,0,3,0,4.3,4.3
Billy Gilmour,sct SCO,MF,22,30,24,2120,23.6,0,1,0,8,1,1.0,1.0
Bart Verbruggen,nl NED,GK,20,21,21,1890,21.0,0,0,0,3,0,0.0,0.0
Danny Welbeck,eng ENG,"FW,MF",32,29,21,1693,18.8,5,1,0,4,0,5.3,5.3
JoÃ£o Pedro,br BRA,"FW,MF",21,31,19,2045,22.7,9,3,4,2,0,11.9,7.9
Igor,br BRA,DF,25,24,17,1637,18.2,0,0,0,4,0,0.3,0.3
JoÃ«l Veltman,nl NED,DF,31,27,17,1588,17.6,1,1,0,4,0,0.4,0.4
Jason Steele,eng ENG,GK,32,17,17,1530,17.0,0,0,0,0,0,0.0,0.0
Facundo Buonanotte,ar ARG,"FW,MF",18,27,17,1364,15.2,3,1,0,7,0,2.4,2.4
Kaoru Mitoma,jp JPN,FW,26,19,15,1486,16.5,3,4,0,4,0,3.5,3.5
Evan Ferguson,ie IRL,FW,18,27,15,1367,15.2,6,0,0,1,0,4.6,4.6
Carlos Baleba,cm CMR,MF,19,27,15,1325,14.7,0,0,0,7,0,0.8,0.8
Pervis EstupiÃ±Ã¡n,ec ECU,DF,25,19,15,1243,13.8,2,3,0,4,0,1.0,1.0
Adam Webster,eng ENG,DF,28,15,13,1144,12.7,0,0,0,2,0,0.4,0.4
Adam Lallana,eng ENG,"MF,FW",35,25,13,850,9.4,0,1,0,2,0,0.8,0.8
James Milner,eng ENG,"DF,MF",37,15,11,773,8.6,0,2,0,3,0,0.3,0.3
Tariq Lamptey,gh GHA,"DF,FW",22,19,10,914,10.2,0,3,0,3,0,0.4,0.4
Jack Hinshelwood,eng ENG,DF,18,12,8,869,9.7,3,0,0,1,0,1.9,1.9
Solly March,eng ENG,"FW,DF",29,7,7,554,6.2,3,1,0,1,0,2.0,2.0
Jakub Moder,pl POL,"MF,DF",24,17,6,618,6.9,0,0,0,2,0,0.6,0.6
Mahmoud Dahoud,de GER,MF,27,9,6,452,5.0,0,1,0,1,1,0.2,0.2
Julio Enciso,py PAR,"MF,FW",19,12,5,475,5.3,0,2,0,2,0,1.4,1.4
Ansu Fati,es ESP,"MF,FW",20,19,3,521,5.8,2,0,0,2,0,3.4,3.4
ValentÃ­n Barco,ar ARG,"DF,FW",19,6,3,307,3.4,0,0,0,1,0,0.2,0.2
Odeluga Offiah,eng ENG,DF,20,4,1,128,1.4,0,0,0,0,0,0.0,0.0
Mark O'Mahony,ie IRL,FW,18,3,1,63,0.7,0,0,0,1,0,0.1,0.1
Benicio Boaitey,eng ENG,"FW,DF",19,5,0,40,0.4,0,0,0,1,0,0.0,0.0
Steven Alzate,co COL,MF,24,0,0,0,,0,0,0,0,0,,
Bigo Atom,de GER,DF,18,0,0,0,,0,0,0,0,0,,
Luca Barrington,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Samy Chouchane,tn TUN,MF,19,0,0,0,,0,0,0,0,0,,
Josh Duffus,eng ENG,MF,18,0,0,0,,0,0,0,0,0,,
Ben Jackson,eng ENG,DF,19,0,0,0,,0,0,0,0,0,,
Leigh Kavanagh,ie IRL,DF,19,0,0,0,,0,0,0,0,0,,
Cameron Peupion,au AUS,MF,20,0,0,0,,0,0,0,0,0,,
Imari Samuels,eng ENG,DF,20,0,0,0,,0,0,0,0,0,,
Squad Total,,,25,38,418,3420,38.0,50,36,5,90,3,56.8,52.2
Opponent Total,,,26,38,418,3420,38.0,60,42,6,99,5,55.4,50.7
Illia Zabarnyi,ua UKR,DF,20,0,37,3330,37.0,1,0,0,5,0,1.1,1.1
Dominic Solanke,eng ENG,FW,25,0,37,3325,36.9,19,3,2,3,0,19.6,17.2
Ryan Christie,sct SCO,MF,28,0,35,2907,32.3,0,5,0,6,0,2.3,2.3
Neto,br BRA,GK,34,0,32,2880,32.0,0,0,0,5,0,0.0,0.0
Lewis Cook,eng ENG,MF,26,0,32,2786,31.0,0,3,0,5,1,0.4,0.4
